prompt_id,category,subcategory,prompt_text,success_criteria,expected_primary_contacts,expected_root_motion,expected_arm_role,hardness,current_motionbricks_support,motionbricks_mode_hint,evaluation_notes
hrb_051,manipulation_stance,hammer,Stand with feet planted and swing the right hand downward as if using a hammer.,feet stable; right arm cyclic downstroke; torso controlled,feet,mostly_stationary,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_052,manipulation_stance,inspect_under,Crouch and lean forward to inspect underneath a table.,lower posture; forward lean; no hand-floor collapse,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_053,manipulation_stance,reach_low,Reach down and forward with both hands without moving the feet.,stationary root; arms forward-low; stable knees,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_054,manipulation_stance,reach_high,Reach overhead with the right hand while the left hand balances at the side.,right hand high; left arm counterbalance; feet planted,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_055,manipulation_stance,sort_bins,Shift weight left and right while moving imaginary objects between waist-high bins.,lateral weight shifts; alternating hand motions; stable feet,feet,forward_or_task_dependent,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_056,manipulation_stance,scan_ground,"Walk two small steps, crouch, and visually inspect the ground.",short progress; crouch; head or torso pitch,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_057,manipulation_stance,lean_reach,Lean to the left and reach the left hand outward while keeping both feet planted.,left hand reach; COM remains supported; no step,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_058,manipulation_stance,right_lean_reach,Lean to the right and reach the right hand outward while keeping both feet planted.,right hand reach; COM remains supported; no step,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_059,balance_recovery,single_leg_right,Balance briefly on the right leg while lifting the left knee.,right support; left knee lift; no fall,one_foot,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_060,balance_recovery,single_leg_left,Balance briefly on the left leg while lifting the right knee.,left support; right knee lift; no fall,one_foot,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_061,balance_recovery,stumble_forward,Recover from a small forward stumble with one quick corrective step.,forward pitch; recovery step; final upright,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_062,balance_recovery,stumble_left,Recover from a small leftward stumble with a side step.,left lean; lateral recovery step; final upright,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_063,balance_recovery,stumble_right,Recover from a small rightward stumble with a side step.,right lean; lateral recovery step; final upright,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_064,balance_recovery,back_recovery,Recover from a slight backward lean by stepping back.,backward lean; backward step; final upright,feet,backward,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_065,balance_recovery,ankle_strategy,Stand still and sway gently forward and backward without stepping.,small root sway; feet planted; no large arm flail,feet,mostly_stationary,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_066,balance_recovery,hip_strategy,Stand still and make a larger torso balance correction without moving the feet.,torso sway; feet planted; recover center,feet,mostly_stationary,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_067,balance_recovery,catch_balance,Lift both arms outward to regain balance after a small perturbation.,arms abduct; trunk returns upright; feet stable or one step,feet,forward_or_task_dependent,expressive,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_068,balance_recovery,toe_stand,Rise briefly onto the toes and return to flat feet.,heel lift; low translation; controlled return,feet,turning,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_069,balance_recovery,heel_rock,Rock back briefly onto the heels and return to normal standing.,toe lift; low translation; controlled return,feet,mostly_stationary,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_070,balance_recovery,loaded_balance,Stand while holding both hands forward as if carrying a load and resist a small sway.,arms forward; small COM sway; no stepping unless needed,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_071,communication_safety,wave,Stand still and wave the right hand at shoulder height.,feet stationary; right arm wave; upright torso,feet,mostly_stationary,task_constrained,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_072,communication_safety,stop_signal,Take one step forward and raise the right palm in a stop signal.,one step; right hand forward-high; final pause,feet,forward_or_task_dependent,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_073,communication_safety,point_left,Point clearly to the robot's left with the left arm while standing.,left arm lateral extension; feet stable; low torso drift,feet,mostly_stationary,task_constrained,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_074,communication_safety,point_right,Point clearly to the robot's right with the right arm while standing.,right arm lateral extension; feet stable; low torso drift,feet,mostly_stationary,task_constrained,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_075,communication_safety,beckon,Stand and make a beckoning motion with the right hand.,right hand cyclic pull; feet stable; upright,feet,mostly_stationary,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_076,communication_safety,yield,Step backward and raise both hands slightly as a yielding gesture.,backward step; hands lift; final stable stance,feet,backward,task_constrained,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_077,communication_safety,look_around,"Stand still and look left, right, then forward.",yaw sequence; feet planted; no arm requirement,feet,mostly_stationary,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_078,communication_safety,caution,Walk slowly while holding both hands slightly outward for caution.,slow forward gait; arms out; stable torso,feet,forward_or_task_dependent,task_constrained,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_079,communication_safety,direct_traffic,Stand and sweep the right arm sideways as if directing someone to pass.,right arm lateral sweep; feet stable; torso controlled,feet,mostly_stationary,expressive,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_080,communication_safety,emergency_stop,Abruptly stop from a slow walk and plant both feet in a stable stance.,initial walking; rapid deceleration; double support,feet,forward_or_task_dependent,natural_or_unspecified,medium,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_081,low_posture,crouch_walk,Crouch-walk forward while keeping the torso below normal walking height.,lower root; forward progress; no hand-floor contact,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_082,low_posture,hands_crawl,Crawl forward using hands and feet in a controlled low posture.,hand-floor contact expected; low root; forward progress,feet;hands_or_elbows,forward_or_task_dependent,task_constrained,medium_high,__PARTIAL__,hand_crawling_or_elbow_crawling,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_083,low_posture,elbow_crawl,Crawl forward on elbows with the torso close to the ground.,elbow/forearm contact expected; low root; forward progress,feet;hands_or_elbows,forward_or_task_dependent,natural_or_unspecified,medium_high,__PARTIAL__,hand_crawling_or_elbow_crawling,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_084,low_posture,kneel_to_stand,Start kneeling and rise to a stable standing posture.,root rises; knee contact early; final upright,feet;knee,mostly_stationary,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_085,low_posture,stand_to_kneel,Lower from standing into a kneeling posture without falling.,root lowers; controlled knee contact; final stable kneel,feet;knee,mostly_stationary,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_086,low_posture,duck_walk,Move forward in a deep squat duck-walk for several steps.,very low root; forward progress; alternating feet,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_087,low_posture,recover_floor,Push up from a hands-and-knees pose into standing.,hands/knees contact early; root rises; final upright,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_088,low_posture,inspect_floor,"Drop into a low squat, reach toward the floor, and stand again.",squat; hand near floor; full recovery,feet,mostly_stationary,task_constrained,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_089,low_posture,crawl_turn,Crawl forward and turn slightly left while staying low.,low root; forward and yaw change; hand contact acceptable,feet;hands_or_elbows,turning,natural_or_unspecified,medium_high,__PARTIAL__,hand_crawling_or_elbow_crawling,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_090,low_posture,low_side_step,Perform two low sideways squat steps to the right.,low root; rightward displacement; stable knees,feet,forward_or_task_dependent,natural_or_unspecified,high,__NO__,requires_new_generator_control,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_091,workspace_task,approach_human,Approach a person slowly and stop at a respectful distance.,slow forward progress; final stop; upright neutral arms,feet,forward_or_task_dependent,natural_or_unspecified,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_092,workspace_task,retreat_human,Step backward away from a person while keeping the torso facing them.,backward displacement; heading maintained; stable arms,feet,backward,natural_or_unspecified,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_093,workspace_task,carry_turn,"Carry an imaginary box, turn left, and continue walking.",hands held; left yaw; forward continuation,feet,turning,task_constrained,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_094,workspace_task,inspect_machine,"Walk to a machine, lean in slightly, and inspect it with hands behind the back.",approach; forward lean; arms held back,feet,forward_or_task_dependent,task_constrained,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_095,workspace_task,pick_place_bin,Pick an object from the left side and place it into a bin on the right.,left reach; right place; torso weight shift,feet,forward_or_task_dependent,task_constrained,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_096,workspace_task,open_drawer,"Step forward, reach low with both hands, and pull as if opening a drawer.",approach; hands low-forward; backward pull,feet,forward_or_task_dependent,task_constrained,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_097,workspace_task,push_button_sequence,Press three imaginary buttons from left to right on a waist-high panel.,three distinct reaches; left-to-right order; feet stable,feet,forward_or_task_dependent,task_constrained,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_098,workspace_task,scan_package,Stand at a table and move both hands around a package as if scanning it.,feet stable; two-hand motions; hands near table height,feet,mostly_stationary,task_constrained,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_099,workspace_task,pass_narrow_gap,Turn the shoulders slightly and walk through a narrow gap.,forward progress; torso yaw/shoulder narrowing; no collision proxy,feet,turning,natural_or_unspecified,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_100,workspace_task,recover_loaded_walk,Walk forward carrying a load and take a corrective step after a small imbalance.,arms held load; perturbation recovery; final upright,feet,forward_or_task_dependent,task_constrained,medium_high,__PARTIAL__,walk_or_style_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
